Indeks;Första år;Sista år;Finsk släkt;Förnamn;Efternamn;Släktbelägg;Ort;Nuv. Socken;Län;Arkivkälla;Källspecifikation;2:a källa;Uppg.-lämn;Kommentarer;;
1;1662;1665;Ampiainen;Mats;Henriksson;Geetingh;;;W;ULA:Malung TL;domb v662;LB;;;;
2;1662;;Ampiainen;Mårten;;Ambian;Kymmen;Gräsmark;S;SRA:LR:Sunne;til 662;;JEB;;;
3;1663; ;Ampiainen;Mats;Henriksson;Getingh;Granberget;Malung;W;ULA:Malung TL;domb v663,v664;;JEB;;;
4;1664;;Ampiainen;Mats;;Geting;Granberget;Malung;W;ULA:Malung TL;domb v664;;JEB;;;
5;1664;1674;Ampiainen;Pål;Mårtensson;Ambian;Kymmen;Gräsmark;S;VA:Fryksdal HR;domb h664; ;JM;;;
6;1665;;Ampiainen;Mats;;Geting;;Malung;W;ULA:Malung TL;domb v665;;JEB;;;
7;1668;;Ampiainen;Pål;;Ambiarson;Mangen;Gräsmark;S;SRA:LR:Sunne;mtl 668; ;JM/NP;;;
8;1673;;Ampiainen;Mickel;;Gietingh;Avundsåsen;S Finnskoga;S;SRA:LR:Dalby;til 673;;GB,JEB,LOH; ;;
9;1674;;Ampiainen;Pål;Mårtensson;Ambian;Kymmen;Gräsmark;S;ULA:ÖLA;inh. rans 674; ;GB;;;
10;1674;;Ampiainen;Mats;Henriksson;Ambian;Tiskaretjärn;Gräsmark;S;ULA:ÖLA;inh. rans 674;;GB;;;
11;1681;;Ampiainen;Pål;Matsson;Getingh; ;Ekshärad;S;VA:Älvdal HR;domb v681;;JEB;;;
12;1684;1700;Ampiainen;Olof;Olsson;Gieeting;;;S;VA:Kils HR;domb 684;;LOH;;;
13;1686;1696;Ampiainen;Mats;Larsson;Geting;Järpberget;Grangärde;W;ULA:Grangärde KB;fb 686,688,692,696;;LOH;;;
14;1686;1691;Ampiainen;Pål;;Getingh;Tjärnberget;Nyskoga;S;SRA:LR:Norra Ny;mtl 686;;GB,JM/NP;;;
15;1687;;Ampiainen;Johan;;Geting;Digerberget;Nyskoga;S;SRA:LR:Norra Ny;til 687;;NP,LOH;;;
16;1687;;Ampiainen;Johan;;Geting;Digerberget;Nyskoga;S;SRA:LR:Norra Ny;mtl 687;;JM/NP;;;
17;1687;;Ampiainen;Nils;;Getingen;Järpberget;Grangärde;W;ULA:Grangärde KB;hfl 687-;;JEB;;;
18;1688; ;Ampiainen;Pål;Henriksson;Geting;Mackartjärn;S Finnskoga;S;VA:Älvdal HR;domb h688;;JEB,JM;;;
19;1689;1723;Ampiainen;Henrik;;Hampian;;;S;VA:Jösse HR;domb h689;;JM;;;
20;1691;;Ampiainen;Pål;;Getingh;Mackartjärn;S Finnskoga;S;VA:Älvdal HR;domb v691;;JEB;;;
21;1692;;Ampiainen;Mats;;Geting;Järpberget;Grangärde;W;ULA:Grangärde KB;fb 692;;JEB;;;
22;1692;;Ampiainen;Henrik;;Ambian;;;S;VA:Fryksdal HR;domb h692,v712,v723 (17); ;JM;;;
23;1692;;Ampiainen;Henrik;;Ambian;S Ängen;Gräsmark;S;VA:Fryksdal HR;domb v692; ;JM;;;
24;1693;;Ampiainen;Henrik;;Ambiörnsson;;;S;VA:Fryksdal HR;domb v693; ;JM;;;
25;1693;;Ampiainen;Henrik;;Amrosson;;;S;VA:Fryksdal HR;domb v693; ;JM;;;
26;1694;1727;Ampiainen;Erik;Pålsson;Geting;Mackartjärn;S Finnskoga;S;SRA:LR:Dalby;mtl 694,695;;JM/NP;;;
27;1695;;Ampiainen;Henrik;Matsson;Ambian;;;S;VA:Fryksdal HR;domb h695,syn 722; ;JM;;;
28;1696;;Ampiainen;Henrik;;Ambian; ;Gräsmark;S;VA:Fryksdal HR;domb v696; ;JM;;;
29;1696;;Ampiainen;;;Ambian;;;S;VA:Älvdal HR;domb ex696;;JEB;;;
30;1697;;Ampiainen;Olof;;Gieting;;Övre Ullerud;W;ULA:Nås TL ;domb 697,698,699,700;;LOH;;;
31;1697;;Ampiainen;Olof;;Getingh; ;Övre Ullerud;S;VA:Ölme HR;domb 697;;LOH;;;
32;1698;;Ampiainen;Daniel;;Geting;Silken;Hällefors;T;ULA:Hällefors KB;db 698;;LOH;;;
33;1699;;Ampiainen;Erik;;Geting;Mackartjärn;S Finnskoga;S;SRA:LR:Dalby;mtl 699;;JM/NP;;;
34;1700;1736;Ampiainen;Mats;;Ampiel;Karterud;Austmarka;No;NRA:SA;sfmtl 700;Fk 96:1;;;;
35;1703;;Ampiainen;;;Geting;Silken;Hällefors;T;ULA:Hällefors KB;fb 703;;MF; ;;
